"player.name","shotAssists","assists","fromThrowIns","regularPlay","fromFreeKick","fromKeeper","fromCounter","fromCorner","fromKickOff","fromGoalKick","fromOther","passLength","groundPass","highPass","lowPass","rightFoot","head","leftFoot","other","noTouch","dropKick","startX","startY","endX","endY","startPosition","endPosition","group"
"Molly Pike",7,3,1,3,0,0,1,0,0,2,0,17.4082641428571,5,2,0,5,0,2,0,0,0,90.2714285714286,49.3,93.5714285714286,38.3142857142857,36.0458441369175,27.2735921802553,"10"
"Natasha Harding",18,3,4,10,1,0,1,1,0,1,0,24.10395315,7,8,3,16,0,1,1,0,0,92.0722222222222,44.9222222222222,103.488888888889,42.9111111111111,40.0746445770885,20.3921567841248,"20"
"Ria Percival",17,3,2,8,2,0,0,5,0,0,0,31.0230341764706,3,13,1,16,0,1,0,0,0,95.1705882352941,55.3294117647059,106.817647058824,42.8352941176471,41.4410363353644,17.3718788191343,"20"
"Sophie Ingle",24,3,7,10,1,0,2,4,0,0,0,21.1020843541667,17,6,1,14,0,10,0,0,0,87.5166666666667,41.9958333333333,98.3083333333333,39.4958333333333,38.058918453515,25.4307150125304,"30"
"Tessa Wullaert",49,3,7,23,2,1,3,9,2,2,0,20.9392458734694,32,13,4,36,0,13,0,0,0,97.4979591836735,46.5673469387755,101.90612244898,41.4469387755102,31.3064912729863,20.5153382798676,"50"
"Abbie McManus",19,2,8,4,3,0,2,2,0,0,0,27.6300726315789,12,6,1,17,0,1,1,0,0,81.7736842105263,45.3473684210526,98.5315789473684,45.5421052631579,46.6356738660969,27.5131875404938,"20"
"Aileen Whelan",24,2,8,13,1,0,2,0,0,0,0,20.5074866458333,15,7,2,16,2,5,1,0,0,85.5541666666667,28.5833333333333,94.2208333333333,35.275,42.5205216700818,29.6142718113892,"30"
"Amalie Vevle Eikeland",9,2,3,2,1,0,2,0,1,0,0,22.5309006888889,3,3,3,5,1,2,1,0,0,89.9888888888889,33.2,98.0666666666667,39.9777777777778,38.2956377920468,25.4989985418081,"10"
"Angharad James",27,2,7,7,4,0,3,5,0,1,0,22.1343958518519,17,8,2,21,1,4,1,0,0,93,45.8814814814815,99.1481481481482,42.9,36.9067820724116,23.7365024328243,"30"
"Brianna Visalli",18,2,3,6,1,1,4,2,0,1,0,22.6889508055556,11,4,3,14,1,3,0,0,0,92.45,39.8444444444444,103.755555555556,40.2166666666667,34.4562984700746,18.6574566812904,"20"
"Cecilie Redisch Kvamme",15,2,4,6,4,0,0,0,0,1,0,23.4136996666667,6,8,1,12,0,2,1,0,0,98.9066666666667,67.9666666666667,103.926666666667,47.5533333333333,36.702324551506,19.0592196116973,"20"
"Chloe Arthur",17,2,1,10,3,0,3,0,0,0,0,28.8710226764706,9,6,2,12,1,4,0,0,0,71.0117647058824,46.7882352941176,93.4647058823529,35.3529411764706,51.39386248433,30.3242129634844,"20"
"Demi Stokes",12,2,5,6,0,0,0,0,0,1,0,23.4885495833333,6,2,4,0,0,12,0,0,0,98.2083333333333,13.6,105.65,28.6583333333333,36.9443634643972,20.3656091577519,"20"
"Dominique Johanna Anna Bloodworth",23,2,6,10,4,0,1,1,0,1,0,30.491787873913,13,10,0,17,0,6,0,0,0,77,36.695652173913,99.0434782608696,36.9565217391304,46.8727222024645,26.5344679657594,"30"
"Ella Toone",6,2,2,2,1,0,0,0,0,1,0,23.8628096666667,4,0,2,5,0,0,0,1,0,86.65,40.8166666666667,100.083333333333,27.3166666666667,36.6140244069271,27.4502836665086,"10"
"Jade Moore",22,2,9,4,1,0,2,3,2,1,0,20.5973829454545,9,8,5,19,2,0,1,0,0,87.0545454545455,44.3136363636364,98.1909090909091,38.0136363636364,39.9251615135539,24.6046826900028,"30"
"Jessica Anne Clarke",13,2,2,7,3,1,0,0,0,0,0,22.2906511538462,5,6,2,11,0,2,0,0,0,103.438461538462,59.4384615384615,106.069230769231,44.4692307692308,29.8934123627549,15.4067361756739,"20"
"Jessica Carter",5,2,2,3,0,0,0,0,0,0,0,24.2645666,1,3,1,4,0,1,0,0,0,103.12,49.22,105.68,36.12,26.9792666515396,17.0776784439296,"10"
"Julie Biesmans",9,2,0,3,1,0,2,3,0,0,0,31.6420862222222,3,4,2,8,1,0,0,0,0,87.5555555555556,18.3333333333333,97.4444444444444,36.8888888888889,47.9726739970743,25.3037575792504,"10"
"Katie Zelem",22,2,1,2,4,0,5,10,0,0,0,27.1539852272727,11,9,2,20,0,2,0,0,0,94.0136363636364,44.1363636363636,101.795454545455,33.0818181818182,40.0121227122815,21.3791126057899,"30"
"Katrine Veje",8,2,3,4,1,0,0,0,0,0,0,25.1137475,3,4,1,0,0,8,0,0,0,113,14.625,110.875,39.25,26.497586109618,9.76667527757386,"10"
"Léa Le Garrec",18,2,1,5,3,1,2,5,0,1,0,33.9745753333333,7,11,0,14,0,4,0,0,0,94.2666666666667,30.2555555555556,104.444444444444,43.9833333333333,41.4542494387598,19.3248954035369,"20"
"Leonie Maier",3,2,2,1,0,0,0,0,0,0,0,22.818191,0,2,1,2,0,0,1,0,0,110.9,43.0666666666667,111.933333333333,27.1333333333333,31.3432357707292,15.5533155170503,"10"
"Rachel Furness",29,2,4,15,2,1,0,5,0,2,0,21.4668113103448,20,6,3,2,1,24,2,0,0,88.8034482758621,37.6896551724138,97.9896551724138,38.6551724137931,38.3809937115252,26.1556324990002,"30"
"Remi Allen",26,2,7,10,2,1,4,1,0,1,0,16.6993452846154,17,5,4,20,2,3,1,0,0,90.3576923076923,30.9538461538462,98.9192307692308,34.6923076923077,33.9060054732689,23.8251234097939,"30"
"Siri Worm",9,2,2,3,3,0,0,1,0,0,0,35.7482267777778,2,6,1,0,0,8,1,0,0,81.6111111111111,33.7666666666667,100.488888888889,38.2333333333333,49.9848564278946,24.9105812363204,"10"
"So-Hyun Cho",10,2,1,3,2,0,1,2,1,0,0,34.6549524,3,4,3,8,1,1,0,0,0,82.87,37.35,101.78,31.52,45.0413265458309,26.5268558605802,"10"
"Abbey-Leigh Stringer",8,1,4,3,0,0,1,0,0,0,0,13.71829,6,0,2,7,0,1,0,0,0,84.625,36.625,85.875,29.5,41.3172478389655,37.597117810383,"10"
"Alexandra Riley",4,1,1,3,0,0,0,0,0,0,0,32.34700075,2,2,0,2,0,2,0,0,0,88.75,24,106.75,36.75,40.5857498764545,14.8352164023468,"10"
"Amanda Nildén",6,1,2,3,1,0,0,0,0,0,0,13.15749755,3,2,1,0,1,4,1,0,0,107.7,39.6,107.416666666667,41.65,18.9174733953934,15.1086741016535,"10"
"Amy Rodgers",3,1,1,2,0,0,0,0,0,0,0,18.7307303333333,2,0,1,3,0,0,0,0,0,73,49.4666666666667,88.4,49.6,51.5506133740684,36.0014550401834,"10"
