"","id","player.name","xA","play_pattern.name","pass.length","pass.angle","pass.height.name","pass.body_part.name","start.X","start.Y","end.X","end.Y","startDist","endDist","pass.outcome"
"281411","da83f03f-4baa-4c98-b234-5765e46d0ba9","Lisa Evans",0.15352929,"From Goal Kick",16.790474,-0.21608497,"Ground Pass","Right Foot",89.9,59.6,106.3,56,35.918936509869,21.0639502468079,"Goal"
"281474","11a6ff39-ef51-46a0-96ad-5ee2c62910e7","Bethany Mead",0.054540545,"From Throw In",35.247696,1.086847,"High Pass","Right Foot",92.5,14.4,108.9,45.6,37.5713986963488,12.4326183887385,"No goal"
"281738","cf4e6f14-7899-4ff9-94a9-b7ce27ec7b28","Emma Mitchell",0.14892776,"From Corner",41.300484,1.5659537,"High Pass","Left Foot",115.6,6.8,115.8,48.1,33.4902971022952,9.12414379544733,"No goal"
"281870","6e56a0ad-f8a2-4992-9773-f49aa3b9f5de","Jordan Nobbs",0.017338041,"From Throw In",17.420103,0.9238509,"Ground Pass","Right Foot",80.5,39.9,91,53.8,39.5001265820757,32.1160396064023,"No goal"
"281934","3cc87759-72bc-422f-97a7-865653ef269c","Jordan Nobbs",0.11327426,"Regular Play",47.19163,-0.36397895,"High Pass","Right Foot",52.6,42.7,96.7,25.9,67.4540584398003,27.2341697137989,"No goal"
"282056","6c3cca7b-7dfe-4a64-b7f3-061110f31ffe","Bethany Mead",0.22442466,"From Throw In",22.204954,-0.79813635,"High Pass","Right Foot",89.4,49.8,104.9,33.9,32.1309819333303,16.2855764405194,"Goal"
"282201","0b7ceec7-a667-4f90-9e86-9caeca76383e","Emma Mitchell",0.12965247,"From Corner",12.529964,0.14415438,"Ground Pass","Left Foot",94.1,27,106.5,28.8,28.9794754955986,17.5410946066658,"No goal"
"282373","42c61cd5-ee55-4e5d-bc20-b136375e9952","Bethany Mead",0.35892257,"From Corner",22.340322,-1.4586562,"High Pass","Right Foot",114,60.7,116.5,38.5,21.5520300667942,3.80788655293195,"No goal"
"282504","ed9c7cde-32b9-490f-b9bb-93426d6dbe8f","Lisa Evans",0.08048389,"Regular Play",21.947664,-2.1878679,"Ground Pass","Right Foot",117.6,53.8,104.9,35.9,14.0071410359145,15.6467248969233,"No goal"
"282620","e0369b14-1f32-4c8f-bd89-39bb710c19de","Katie Robinson",0.019270452,"Regular Play",13.515177,2.5884836,"Ground Pass","Right Foot",108.5,6.8,97,13.9,35.1353098748254,34.7880726686604,"No goal"
"282791","679aff00-e663-424b-a302-1a8be81f143d","So-yun Ji",0.04192746,"Regular Play",18.809572,0.79291683,"Ground Pass","Right Foot",78.3,39.1,91.5,52.5,41.709711099455,31.1207326391909,"No goal"
"283096","8570691a-4471-4663-be48-7bdee38eb518","Guro Reiten",0.069010794,"Regular Play",5.4147944,3.0676537,"Low Pass","Left Foot",105.5,40.6,100.1,41,14.5124084837769,19.9251097863977,"No goal"
"283294","2d66a601-7162-4118-8ec8-3e0ad4d59d18","Maren Nævdal Mjelde",0.029422503,"Regular Play",16.317474,-1.2529217,"Ground Pass","Right Foot",72.5,71.9,77.6,56.4,57.2176546181334,45.4611922412952,"No goal"
"283505","95950aa0-3a2e-4be0-87d8-38769e300c48","Tessa Wullaert",0.020881047,"Regular Play",3.9115214,2.5748634,"Ground Pass","Right Foot",89.9,28.4,86.6,30.5,32.2578672574614,34.7247750172697,"No goal"
"283875","6167707d-76d1-4a91-8760-f55d4dd1a75f","Tessa Wullaert",0.044810347,"Regular Play",10.159232,-2.7793658,"Ground Pass","Right Foot",104.9,42.8,95.4,39.2,15.3574086355739,24.6130046926416,"No goal"
"283908","e2fa4d1b-0498-4310-b681-58e7da4861f4","Erin Cuthbert",0.025962055,"From Counter",8.1154175,-1.6324465,"Ground Pass","Right Foot",92.2,55.6,91.7,47.5,31.8778920256657,29.2769533934117,"No goal"
"284062","cf846d8c-8081-4e23-8370-1bb0bfee57b3","Jill Scott",0.08862429,"Regular Play",35.106266,-1.0357505,"High Pass","Right Foot",98.1,60.3,116,30.1,29.8613462523042,10.677546534668,"No goal"
"284078","dbb9c118-df47-4b1b-8ef1-c74bed3a0200","Demi Stokes",0.025270483,"From Throw In",19.43116,1.6274368,"Low Pass","Left Foot",118.3,6.8,117.2,26.2,33.2434956044036,14.0811931312655,"No goal"
"284209","608ab0f3-7ed6-49d8-962c-f8af068679f5","Guro Reiten",0.1728238,"Regular Play",29.898663,0.97815555,"Ground Pass","Left Foot",83.4,26.9,100.1,51.7,38.8737700770069,23.0846269192292,"No goal"
"284230","3b171722-00ae-4b36-a3e9-a5fa9911700d","Guro Reiten",0.029733064,"From Corner",15.708915,-1.7694403,"High Pass","Left Foot",117.3,48.4,114.2,33,8.82326470191165,9.09065454189081,"No goal"
"284313","94dda6a0-d477-425a-9104-4f05cd2b9066","Bethany England",0.04668722,"Regular Play",7.615773,-0.4048918,"Ground Pass","Right Foot",92.2,28.2,99.2,25.2,30.2006622443946,25.5280238169742,"No goal"
"284413","dc1c5206-6ff3-4f5d-96dc-59dca77b7d83","Erin Cuthbert",0.042795036,"From Throw In",26.30076,-1.0884434,"High Pass","Other",92.7,80,104.9,56.7,48.4281942673893,22.5144398109302,"No goal"
"284430","e7190f2d-c4d0-4f37-b2d6-f0ec042066dd","Ramona Bachmann",0.022634009,"From Corner",22.270384,-2.244836,"Low Pass","Left Foot",107,70.5,93.1,53.1,33.1549393002008,29.9202272718641,"No goal"
"284457","6cd628ba-d3b9-4583-8843-5b8caad74416","Bethany England",0.121484786,"From Kick Off",14.840822,-1.6449842,"Ground Pass","Right Foot",110.2,60.1,109.1,45.3,22.3617977810372,12.1202310209006,"No goal"
"284817","b86cfcd5-9ee0-4883-965d-9d2fe18b923b","Bethany England",0.028365875,"Regular Play",18.435835,-2.0684114,"Ground Pass","Left Foot",97.8,73.3,89,57.1,40.0216191576503,35.4035308973554,"No goal"
"285043","38babf60-1ad9-4c0b-a4ad-eb3d26b948a0","Keira Walsh",0.107440956,"From Corner",32.89635,0.9954406,"High Pass","Right Foot",92.7,21.1,110.6,48.7,33.203915431768,12.8082004981184,"Goal"
"285117","9d2c7c00-5eb7-4ccd-b918-6cef4b7e16b1","Guro Reiten",0.037203576,"Regular Play",22.800219,1.244885,"High Pass","Right Foot",98.6,20.9,105.9,42.5,28.6839676474507,14.3199162008721,"No goal"
"285472","523d82b2-5aa0-46d3-896a-90418713765a","Ellen White",0.03970425,"From Throw In",16.793154,-2.833024,"Ground Pass","Left Foot",110.6,50.8,94.6,45.7,14.3178210632764,26.0317114304842,"No goal"
"285569","626e7117-1a2f-4a37-abee-90fc69bfab4a","Jill Scott",0.038348608,"From Free Kick",6.1392183,1.3574277,"Ground Pass","Right Foot",99.5,48.7,100.8,54.7,22.2697103708153,24.181191037664,"No goal"
"285696","6f7d07d1-0495-4a2d-b20e-2198d25b728c","Drew Spence",0.04279569,"Regular Play",17.821615,-0.9407624,"Ground Pass","Right Foot",89,40.2,99.5,25.8,31.000645154577,24.9377224300857,"No goal"
"285706","53dceaad-7a2a-4b3d-be30-2e6648908fcc","Maren Nævdal Mjelde",0.046575915,"From Corner",16.7003,2.4921036,"Ground Pass","Right Foot",111.1,27.1,97.8,37.2,15.6722685020389,22.3758798709682,"No goal"
"285783","85ad064c-4845-4c1e-8e53-b8827052872c","Ellen White",0.035303142,"From Kick Off",3.224903,3.0172377,"Low Pass","Right Foot",85.2,52.6,82,53,37.0108092318987,40.1621712560464,"No goal"
"286083","5f01c094-76e3-40a7-8b84-0bbbd5220dee","Drew Spence",0.03307939,"From Throw In",11.950314,2.3621116,"Ground Pass","Right Foot",114.9,16.6,106.4,25,23.9493214935204,20.2474689776278,"No goal"
"286208","58db2485-f04e-49e0-b7bc-860b4b112b1d","Caroline Weir",0.044375505,"From Corner",39.678837,1.8151637,"High Pass","Left Foot",120,0.1,110.4,38.6,39.9,9.70154626850792,"No goal"
"286513","3e6e8e56-4c2d-45b8-a8a1-94c676454081","Josie Green",0.012532228,"Regular Play",52.40773,-1.1771795,"High Pass","Right Foot",43,62,63.1,13.6,80.0812087820857,62.7261508463575,"No goal"
"287003","ae3d3e7c-538a-4b6a-813e-2de922f7e99d","Rachel Furness",0.02331477,"From Goal Kick",4.5343137,-2.4186132,"Ground Pass","Left Foot",111,25.6,107.6,22.6,16.9811660377019,21.3663286504725,"No goal"
"287236","33be59cf-3928-4b19-b6ea-dffe6c96d537","Rachel Furness",0.026499903,"From Free Kick",31.70757,0.46082675,"Ground Pass","Left Foot",75.3,47.2,103.7,61.3,45.2761526634055,26.8212602239343,"No goal"
"287371","781fe9c4-ad1f-45e2-89b5-3b7482d6c266","Rosella Ayane",0.043480318,"Regular Play",32.605675,1.2364373,"High Pass","Left Foot",98.2,5.1,108.9,35.9,41.1491190671198,11.833004690272,"Goal"
"287422","31405418-eb3f-40e0-9b05-017c4fc8940d","Kate Longhurst",0.031695113,"From Kick Off",15.423683,-1.0025753,"Ground Pass","Left Foot",97.9,32,106.2,19,23.5034040087814,25.1284699096463,"No goal"
"287566","845ac4d3-0e52-4eee-83c4-c9b5f94342d9","Josie Green",0.016995974,"Regular Play",18.956001,-1.2874242,"Low Pass","Head",70.4,44,75.7,25.8,49.7610289282688,46.5202106616038,"No goal"
"287811","5430c2b2-e7af-44df-bba5-f39c56e3d4b0","Alisha Lehmann",0.2673479,"Regular Play",15.31176,-1.5316007,"Ground Pass","Right Foot",110.1,58.4,110.7,43.1,20.8942575843221,9.80306074652197,"No goal"
"287831","88ec6c44-7bec-4275-bc3f-915f044df994","Rachel Furness",0.2455655,"From Goal Kick",30.90259,1.5837406,"Ground Pass","Left Foot",115.9,15.9,115.5,46.8,24.4462676087782,8.15414005275847,"No goal"
"287862","3c9dd7c2-8350-4e55-8ef9-15ba4e040b76","Ria Percival",0.011562705,"From Throw In",45.83994,-1.1022707,"High Pass","Right Foot",86.6,74.3,107.3,33.4,47.8753590064868,14.3125818774951,"No goal"
"288104","1e57dd74-31fa-4a6d-b53b-d02c6dfe9723","Alisha Lehmann",0.24005201,"From Throw In",45.353832,-1.2078966,"High Pass","Right Foot",100.3,79.1,116.4,36.7,43.782416561903,4.88364617882991,"No goal"
